GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2/8/2020,21900782,Final,1610612750,1610612746,2019,142,0.547,0.667,0.591,39,46,115,0.477,0.828,0.346,24,43
2/8/2020,21900783,Final,1610612744,1610612747,2019,120,0.517,0.652,0.406,31,33,125,0.524,0.735,0.483,29,47
2/8/2020,21900784,Final,1610612756,1610612743,2019,108,0.437,1,0.281,25,41,117,0.549,0.762,0.393,23,40
2/8/2020,21900785,Final,1610612758,1610612759,2019,122,0.523,0.65,0.543,25,39,102,0.506,0.722,0.292,23,41
2/9/2020,21900786,Final,1610612760,1610612738,2019,111,0.453,0.759,0.407,14,44,112,0.452,0.741,0.444,19,53
2/9/2020,21900787,Final,1610612737,1610612752,2019,140,0.454,0.903,0.35,29,50,135,0.473,0.72,0.382,30,56
2/9/2020,21900788,Final,1610612755,1610612741,2019,118,0.5,0.719,0.407,29,44,111,0.489,0.765,0.375,23,42
2/9/2020,21900789,Final,1610612764,1610612763,2019,99,0.35,0.759,0.212,25,50,106,0.422,0.6,0.156,19,62
2/9/2020,21900790,Final,1610612745,1610612762,2019,113,0.463,0.714,0.357,20,36,114,0.488,0.833,0.395,25,48
2/9/2020,21900791,Final,1610612739,1610612746,2019,92,0.368,0.682,0.212,22,45,133,0.57,0.75,0.333,28,52
2/9/2020,21900792,Final,1610612757,1610612748,2019,115,0.471,0.727,0.452,20,43,109,0.398,0.786,0.408,31,49
2/10/2020,21900793,Final,1610612765,1610612766,2019,76,0.354,0.846,0.2,21,52,87,0.375,0.857,0.25,19,45
2/10/2020,21900794,Final,1610612754,1610612751,2019,105,0.489,0.727,0.233,28,40,106,0.402,0.75,0.324,20,53
2/10/2020,21900795,Final,1610612753,1610612737,2019,135,0.526,0.773,0.474,33,45,126,0.534,0.941,0.432,33,31
2/10/2020,21900796,Final,1610612761,1610612750,2019,137,0.573,0.783,0.515,29,41,126,0.453,0.857,0.45,24,38
2/10/2020,21900797,Final,1610612749,1610612758,2019,123,0.448,0.826,0.429,26,55,111,0.416,0.722,0.326,23,49
2/10/2020,21900798,Final,1610612742,1610612762,2019,119,0.47,0.839,0.349,24,26,123,0.59,0.762,0.429,27,45
2/10/2020,21900799,Final,1610612743,1610612759,2019,127,0.563,0.826,0.514,34,37,120,0.482,0.88,0.5,33,36
2/10/2020,21900800,Final,1610612744,1610612748,2019,101,0.39,0.882,0.324,23,40,113,0.494,0.714,0.364,36,45
2/10/2020,21900801,Final,1610612747,1610612756,2019,125,0.516,0.68,0.378,28,59,100,0.421,0.806,0.355,26,29
2/11/2020,21900802,Final,1610612755,1610612746,2019,110,0.463,0.667,0.296,25,50,103,0.444,0.692,0.452,25,42
2/11/2020,21900803,Final,1610612764,1610612741,2019,126,0.539,0.792,0.344,28,44,114,0.478,0.714,0.41,25,44
2/11/2020,21900804,Final,1610612740,1610612757,2019,138,0.533,0.813,0.412,40,50,117,0.473,0.786,0.241,21,40
2/11/2020,21900805,Final,1610612760,1610612759,2019,106,0.459,0.81,0.355,19,35,114,0.488,0.926,0.28,20,46
2/11/2020,21900806,Final,1610612745,1610612738,2019,116,0.429,0.881,0.289,17,45,105,0.435,0.8,0.344,24,48
